block,test_id,R_pair,manhattan,max_dim,vector_a,vector_b
A,T1,R1-R2,3,2,"[2, 4, 4, 3]","[4, 4, 4, 4]"
A,T1,R1-R3,3,2,"[2, 4, 4, 3]","[4, 4, 4, 4]"
A,T1,R1-R4,0,0,"[2, 4, 4, 3]","[2, 4, 4, 3]"
A,T1,R1-R5,3,2,"[2, 4, 4, 3]","[4, 4, 4, 4]"
A,T1,R2-R3,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T1,R2-R4,3,2,"[4, 4, 4, 4]","[2, 4, 4, 3]"
A,T1,R2-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T1,R3-R4,3,2,"[4, 4, 4, 4]","[2, 4, 4, 3]"
A,T1,R3-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T1,R4-R5,3,2,"[2, 4, 4, 3]","[4, 4, 4, 4]"
A,T2,R1-R2,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
A,T2,R1-R3,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T2,R1-R4,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
A,T2,R1-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T2,R2-R3,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T2,R2-R4,0,0,"[3, 4, 4, 4]","[3, 4, 4, 4]"
A,T2,R2-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T2,R3-R4,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
A,T2,R3-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T2,R4-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T3,R1-R2,0,0,"[3, 4, 4, 4]","[3, 4, 4, 4]"
A,T3,R1-R3,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T3,R1-R4,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T3,R1-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T3,R2-R3,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T3,R2-R4,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T3,R2-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T3,R3-R4,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T3,R3-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T3,R4-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R1-R2,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R1-R3,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R1-R4,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R1-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R2-R3,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R2-R4,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R2-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R3-R4,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R3-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T4,R4-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T5,R1-R2,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
A,T5,R1-R3,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T5,R1-R4,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T5,R1-R5,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
A,T5,R2-R3,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T5,R2-R4,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
A,T5,R2-R5,0,0,"[3, 4, 4, 4]","[3, 4, 4, 4]"
A,T5,R3-R4,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
A,T5,R3-R5,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
A,T5,R4-R5,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T1,R1-R2,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T1,R1-R3,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T1,R1-R4,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
B,T1,R1-R5,5,3,"[4, 4, 4, 4]","[1, 3, 4, 3]"
B,T1,R2-R3,0,0,"[3, 4, 4, 4]","[3, 4, 4, 4]"
B,T1,R2-R4,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
B,T1,R2-R5,4,2,"[3, 4, 4, 4]","[1, 3, 4, 3]"
B,T1,R3-R4,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
B,T1,R3-R5,4,2,"[3, 4, 4, 4]","[1, 3, 4, 3]"
B,T1,R4-R5,5,3,"[4, 4, 4, 4]","[1, 3, 4, 3]"
B,T2,R1-R2,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
B,T2,R1-R3,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T2,R1-R4,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T2,R1-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
B,T2,R2-R3,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T2,R2-R4,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T2,R2-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
B,T2,R3-R4,0,0,"[3, 4, 4, 4]","[3, 4, 4, 4]"
B,T2,R3-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
B,T2,R4-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
B,T3,R1-R2,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T3,R1-R3,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T3,R1-R4,4,2,"[4, 4, 4, 4]","[2, 3, 4, 3]"
B,T3,R1-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
B,T3,R2-R3,0,0,"[3, 4, 4, 4]","[3, 4, 4, 4]"
B,T3,R2-R4,3,1,"[3, 4, 4, 4]","[2, 3, 4, 3]"
B,T3,R2-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
B,T3,R3-R4,3,1,"[3, 4, 4, 4]","[2, 3, 4, 3]"
B,T3,R3-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
B,T3,R4-R5,4,2,"[2, 3, 4, 3]","[4, 4, 4, 4]"
B,T4,R1-R2,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
B,T4,R1-R3,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T4,R1-R4,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T4,R1-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
B,T4,R2-R3,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T4,R2-R4,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T4,R2-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
B,T4,R3-R4,0,0,"[3, 4, 4, 4]","[3, 4, 4, 4]"
B,T4,R3-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
B,T4,R4-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
B,T5,R1-R2,2,1,"[4, 4, 4, 4]","[3, 3, 4, 4]"
B,T5,R1-R3,3,2,"[4, 4, 4, 4]","[2, 4, 4, 3]"
B,T5,R1-R4,1,1,"[4, 4, 4, 4]","[3, 4, 4, 4]"
B,T5,R1-R5,0,0,"[4, 4, 4, 4]","[4, 4, 4, 4]"
B,T5,R2-R3,3,1,"[3, 3, 4, 4]","[2, 4, 4, 3]"
B,T5,R2-R4,1,1,"[3, 3, 4, 4]","[3, 4, 4, 4]"
B,T5,R2-R5,2,1,"[3, 3, 4, 4]","[4, 4, 4, 4]"
B,T5,R3-R4,2,1,"[2, 4, 4, 3]","[3, 4, 4, 4]"
B,T5,R3-R5,3,2,"[2, 4, 4, 3]","[4, 4, 4, 4]"
B,T5,R4-R5,1,1,"[3, 4, 4, 4]","[4, 4, 4, 4]"
