reconstruction,test,blind_a,blind_b,manhattan
R4,T1,fcc34860-5624-47c5-90ea-4867168f2223,2f376ffc-bddf-42c7-968d-a22b5d23fdf0,16
R2,T3,5ee5d444-1164-409b-b6b7-5103b94619b3,9bb40176-09d9-4107-bb02-53956c1471ff,0
R5,T5,c7f8aa16-ef18-4f73-9d66-f6f0317ea988,54b0ea5e-a89d-4e79-864a-73226f2ae65e,0
R3,T3,4e8a43d3-133a-47c1-ad6f-cbd71273b8ff,1c3f850a-7041-46a8-8316-045ee08cdac8,0
R6,T1,d177dc16-c2a6-4a1b-a37e-bf28150ca79b,f541ca10-36c5-446b-8486-8c66253fc4a8,0
R4,T4,4572135c-9164-41ca-9676-0483bae6b486,291b92c2-a647-4d78-a4ad-835ad1310119,16
R2,T2,787e0d43-2665-49bf-90a8-75f559a3d84c,ee91eb20-a555-4754-94a9-31409d99343c,0
R1,T3,f010c2d1-2352-4b11-8cb6-f7d439c8d2ab,81bb8d8b-8796-4b4d-8f34-2cb873665629,0
R2,T5,70a9461e-3242-4854-967a-271d84bef7db,78c2c5f6-6a43-409a-a9ff-df5d73e1f6b1,0
R4,T3,1f8314aa-e805-4996-9f95-e0b90835882c,ab988151-82dd-4e15-8b24-be75ba0d690c,16
R5,T2,6ca84551-b35e-431b-8949-1959c9448d51,e697763b-5def-4fba-9e5d-d9e1567e187c,0
R1,T4,332b15fc-3539-40a5-a118-d0ecece3410a,01e706c3-f1eb-4437-b6d1-30a1a4aca3e3,0
R6,T2,c38628e5-80cc-4fd0-a47a-3a3d91319f63,63f06890-e4de-4bd7-9ab3-41ada565256f,0
R6,T3,a9445df1-dbe9-433a-a140-e655ff128b71,c9b91a2c-6d1c-467e-bd4c-6429357be075,0
R3,T4,ab8905e2-fc82-44d6-8a5b-673f8a3e7213,86432599-1db7-4686-a41c-9ec38bb40b2d,0
R6,T4,43cd20de-6964-4297-a727-1cc6ab1bee28,0eb50383-4c92-468e-98f6-401d0ba18d35,0
R3,T5,66cc7583-00b2-4cd7-bfe5-fe5ebdc27a17,16d1c0db-1675-4d7c-9899-0ab4f164977e,0
R4,T5,fbdf1c0e-fed6-4072-bd5c-47aff5a142e0,6f9d0b5f-f0cc-40fd-a36d-0143d0b749fa,16
R1,T1,74d5078d-064f-4201-8d9e-7b66b0ac6fe4,b1fb3892-ff96-4ec0-b68d-0258ae5f5951,2
R5,T3,5d47bcaf-99ed-4b7d-8c0f-b66bad068888,06189267-222e-4f5f-ae21-5e3d1c7b44ec,0
R5,T1,86ad70ab-5189-47d5-a4fa-1c58481907f0,f72e5134-d3ef-406a-8299-ff986957dff2,0
R2,T4,22a940ef-aaec-4cf4-ba79-4c65435d8c7b,5d4e3f54-fdea-4c6c-84b9-828f76358097,0
R5,T4,8624f6b2-c324-4c7d-ba5d-5cc5b54758bd,32baa778-970a-4520-b122-a314eb32d60a,0
R1,T5,8cacfbb4-9b58-4d8f-90a8-7149cb4fd936,3becc749-94f6-4674-9586-54e257ac3bb9,0
R2,T1,f56a64ec-8a80-46ed-868f-b16e87034d2a,fdfe4ede-14c7-45de-8093-8bf1c978d6cc,0
R3,T1,66a777b8-cf61-45ac-8d32-437a5cb7d49a,8983d30b-40f0-4dd6-bf66-cfdb13a9104b,0
R6,T5,30e012b2-2729-44a9-a007-4e17686a25a6,ae4ddb7c-0880-4812-a56c-7fc29f248df4,0
R1,T2,eb872632-d0c2-4560-823f-aeab6890d1df,c87e598e-aee1-4c13-ac46-e37cc66ac63c,0
R4,T2,cee7bcd5-db89-4e94-98d2-3fed7378271a,b6905e3b-c11e-4d8e-b21c-89a893e9c078,16
R3,T2,7261d354-39a1-4b12-bea4-b9cdbe8ff637,e8fa6722-58cc-446c-a206-5b1ef9764837,0
