reconstruction_id,block,test_id,test_prompt,blind_id,raw_sha256,evaluator_A_total,evaluator_A_dims,evaluator_A_classification,evaluator_A_violations,evaluator_B_total,evaluator_B_dims,evaluator_B_classification,evaluator_B_violations,agreement_classification
R1,A,T1,"Birthdate February 20, 1952",74d5078d-064f-4201-8d9e-7b66b0ac6fe4,002f1c82d97a3f1dd3ba10c59b75635d32ea31db5c8c387315896c0e6e5b5e1a,14,"[3, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The polio paragraph contains confusing chronology about the 1952 epidemic.""}]",14,"[3, 3, 4, 4]",SAME_WITH_VARIANCE,"[{""severity"": ""MINOR"", ""description"": ""USPS 160th-anniversary inclusion is thin trivia relative to other selections; slightly weakens curation.""}]",False
R1,A,T2,"Birthdate June 23, 1956",eb872632-d0c2-4560-823f-aeab6890d1df,e99a3b2d96b3a097100225fa2835072d27cd13c09cd595b4e28c47ad8714a05f,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""It says Elvis had already recorded 'Hound Dog' and 'Don't Be Cruel' by June 23, although the sessions followed the birthdate.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R1,A,T3,"Birthdate February 29, 1960",f010c2d1-2352-4b11-8cb6-f7d439c8d2ab,bbd707f57d9b4349c32f8ef6765f3b24863bb436110e5b5eda3882122d4492fc,15,"[4, 4, 4, 3]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R1,A,T4,"Birthdate November 9, 1989",332b15fc-3539-40a5-a118-d0ecece3410a,c051d86fa6ca6e6c852a86e771a26d1c465f8f8a2e7f91ae9e1e4408cdf3b794,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R1,A,T5,"Birthdate August 24, 1931",8cacfbb4-9b58-4d8f-90a8-7149cb4fd936,f44751bf275c176fd482c943e644f4c80ee5c774a11e30c0c101740de4f852d5,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The count of American presidents serving during the lifetime is understated.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R1,B,T1,"Birthdate February 20, 1952",b1fb3892-ff96-4ec0-b68d-0258ae5f5951,c3013d9c3de97dab7e6b303935751530c38c4a750a09a060857f99447ba865fd,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The opening gives the wrong weekday and incorrectly characterizes February 1952 as the fourth year of the Korean War.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R1,B,T2,"Birthdate June 23, 1956",c87e598e-aee1-4c13-ac46-e37cc66ac63c,b98e002a630525d4c8ad5ed2971a5cdcad94cfa4d62d69fd77d20a007351666b,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""It states that the subject was four months old when Khrushchev delivered a speech that actually preceded the birth by four months.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R1,B,T3,"Birthdate February 29, 1960",81bb8d8b-8796-4b4d-8f34-2cb873665629,ebabf8414f812cbd4d916b01759bda59085547c8a21fb4e1c1b1038f4a8ca6cb,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""It says the subject was 33 when the Berlin Wall fell; the correct age was 29.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R1,B,T4,"Birthdate November 9, 1989",01e706c3-f1eb-4437-b6d1-30a1a4aca3e3,a0a431fba0aec446df816091df5d7586b5af01b41f52db33362433c8674e8ffb,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""It presents Mandela's release as part of the same liberalizing wave in a somewhat overdirect causal formulation.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R1,B,T5,"Birthdate August 24, 1931",3becc749-94f6-4674-9586-54e257ac3bb9,b4ca2cf5d7a496022c2c5fe1e9598c7a11918b78813e08fe6b301b7a05e8222b,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The claim that no prior generation witnessed comparable communications change is rhetorically broader than the evidence supports.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R2,A,T1,"Birthdate February 20, 1952",f56a64ec-8a80-46ed-868f-b16e87034d2a,9fda4f4161f62ac862acfe07a4e7ff68938c4ba3e6ea81d2e281a7b28a4cc479,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""It incorrectly describes Oslo 1952 as the Olympics' return to Europe and implies the Olympics had been unusually absent since 1948.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R2,A,T2,"Birthdate June 23, 1956",787e0d43-2665-49bf-90a8-75f559a3d84c,043911758b8c927679d1962f27d763159ba0d7847caf155a7805b7cbb5884e4e,15,"[4, 4, 4, 3]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R2,A,T3,"Birthdate February 29, 1960",5ee5d444-1164-409b-b6b7-5103b94619b3,322995bb5d5bc56e249915828feedebf4542a4fe058871134d2d1eae93f3ef1c,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The Agadir earthquake is placed in the early hours rather than late at night.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R2,A,T4,"Birthdate November 9, 1989",22a940ef-aaec-4cf4-ba79-4c65435d8c7b,ca9a0313807af379b96df4ac301679743435f781f2152adfe47caa5f632134ec,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R2,A,T5,"Birthdate August 24, 1931",70a9461e-3242-4854-967a-271d84bef7db,d256574458b4f7dc82b77b54fda33fa523b895e58c409723bf00fe38e17e4a78,14,"[3, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The heading says the Depression was at its floor while the text correctly says it was still deepening.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R2,B,T1,"Birthdate February 20, 1952",fdfe4ede-14c7-45de-8093-8bf1c978d6cc,d7fbbf24d2edc9219ab250696b598aa01fff91a16e0e32fa348afdcd409b11d0,15,"[4, 4, 4, 3]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R2,B,T2,"Birthdate June 23, 1956",ee91eb20-a555-4754-94a9-31409d99343c,2b0fd932752ec3ad1dc04fa432e3dc726a8d9f59cc9f5ee594bb034ecf0f8db5,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The closing claim that the birth world lacked commercial jet service is overstated.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R2,B,T3,"Birthdate February 29, 1960",9bb40176-09d9-4107-bb02-53956c1471ff,869997bd4ba56843d52d7200a1e5f052e555efef4f9eb08062e3a50225b6ac7e,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""It says the subject was 65 when Mandela became president, rather than 34.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R2,B,T4,"Birthdate November 9, 1989",5d4e3f54-fdea-4c6c-84b9-828f76358097,f6c73a428484c661ca18438ad1e877c9bd3da0c4f91a9388bd45bbd2cdd319dc,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The lifetime chronology says the subject was 34 when Russia invaded Ukraine; they were 32.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R2,B,T5,"Birthdate August 24, 1931",78c2c5f6-6a43-409a-a9ff-df5d73e1f6b1,bf23c43b0a511267ebea3d53de709e776fad1e454cc58bff57297b683930e679,14,"[3, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""Some geopolitical conclusions are expressed too categorically, but the report's temporal distinctions remain clear.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R3,A,T1,"Birthdate February 20, 1952",66a777b8-cf61-45ac-8d32-437a5cb7d49a,9dd4ff1250a87e55029b37801b095f12564b9e11ce88d4ea32c864939e5ef623,15,"[4, 4, 4, 3]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R3,A,T2,"Birthdate June 23, 1956",7261d354-39a1-4b12-bea4-b9cdbe8ff637,b2c13881281d5f48aabab09c1809db139c5eb468c68b0ee8bd11c28c9e9ad9b2,15,"[4, 4, 4, 3]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R3,A,T3,"Birthdate February 29, 1960",4e8a43d3-133a-47c1-ad6f-cbd71273b8ff,2880972f347985636bbe719ac4005f8258c516ddd48eb173ce130225bc511510,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""Calling the subject 'just turned 16' by leap-day count is imprecise in September 2026, and the 2020 celebration claim is overgeneralized.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R3,A,T4,"Birthdate November 9, 1989",ab8905e2-fc82-44d6-8a5b-673f8a3e7213,f8b97343be86e2896afc548911ca512afdafa4f0b196fa5bd0d34d70a3b81184,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""Saying the Berlin Wall was built in a single night compresses the overnight border closure and the structure's subsequent development.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R3,A,T5,"Birthdate August 24, 1931",66cc7583-00b2-4cd7-bfe5-fe5ebdc27a17,8b65160fda390073d0529f51603bc195aa32391777de3e4fd9acb2d5f9dc51dc,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The statement that the ninety-fifth birthday was twelve days earlier is off by approximately one day.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R3,B,T1,"Birthdate February 20, 1952",8983d30b-40f0-4dd6-bf66-cfdb13a9104b,d71a98a9a8229bc937e3816597739baf5e689304bd8a7a0dc029b903158dbfb2,13,"[3, 3, 4, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The lead exact-anniversary connection incorrectly says the Metropolitan Museum opened in its current Fifth Avenue home in 1872.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R3,B,T2,"Birthdate June 23, 1956",e8fa6722-58cc-446c-a206-5b1ef9764837,8a8329a6d200dcf971890d89d86850934cbd7214cc1f11cd22aa9cf76a70f756,15,"[4, 4, 4, 3]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R3,B,T3,"Birthdate February 29, 1960",1c3f850a-7041-46a8-8316-045ee08cdac8,fb4b7e890457b9e3d403aff22b967920cf50e8cdd59b591755e23fedf1d50b62,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The list of seventeen independent African states duplicates Senegal.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R3,B,T4,"Birthdate November 9, 1989",86432599-1db7-4686-a41c-9ec38bb40b2d,eba942aef2e6b4e9ed4894e2b5e0d38e93d1fab2fa41e672204781e9d0697ff3,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R3,B,T5,"Birthdate August 24, 1931",16d1c0db-1675-4d7c-9899-0ab4f164977e,98da87d0b6e960a10d8e91027a3b050ac5994161be29f2dda4f2a44dbc7b713d,15,"[4, 4, 4, 3]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
