reconstruction,test,blind_a,blind_b,manhattan
R9,T3,68d6c08f-4dfb-4118-99da-ec2f818f85e5,b241a5c2-6d9a-43d5-a44b-96c03229db04,0
R8,T4,7baff1b1-fb8c-45f9-be75-ffd0e2894c8e,d876f1d9-d07b-426a-abfc-b11051d7839f,0
R8,T1,8322c8f1-7963-4140-bd51-e613a821315b,8d025f0f-bd47-4a05-9929-ef8b4e142780,0
R7,T1,ca1d32ba-9bee-4d60-a092-2c7a836ef55a,4fa96eaa-e2d0-49ae-80bd-1a231edba468,0
R7,T3,8995d99e-4bcd-451f-bb7b-0819beafcb04,e8b5b3af-c053-41f2-b7e6-198a60edd7e3,0
R7,T4,699381c2-0f7f-42e8-9120-bfd82608fb1d,395bdecd-00bf-4ac2-8ded-2e5d2fe32ba9,0
R8,T2,21057d1d-ccb9-46bd-8245-0c7eaa4da5cc,49b4d3b8-a1c1-4454-b11d-93917c79960a,0
R7,T5,6843ff63-aab9-4d3b-bbf5-48562986e4bc,36eb085f-c940-472e-8a50-70973451fd99,0
R7,T2,f277c42a-b904-40d9-a53f-e447321eca70,5a79207f-f9db-48e4-8ad5-782789eaa16d,0
R9,T4,cfc205e8-aa40-4914-b394-a4e3f5751308,9dab5418-80c8-4ea3-bd4c-d50ecfb32637,0
R8,T5,781f6ea0-4cd3-4e97-b23a-e1d32e9ef710,1cf36120-5ccd-494d-a29a-f75ee3f517d4,0
R8,T3,c0003cc9-7ee5-4bc7-bf57-98f3276fde2f,e8e98fd9-7075-47f3-9881-2038416853ed,0
R9,T5,59c80049-0a97-48c9-bd84-7056f1da18e8,80721630-f961-4cab-9e4d-aa886900e31d,0
R9,T2,e123e863-6898-47a1-8f8e-286ee7b19218,754aaa7b-d7dc-48c6-9054-6feab0ee21d8,0
R9,T1,bae4f1c6-7e25-41c7-ab5a-e3a9e5b48463,62804a49-17e4-4b0c-a798-84fa7a0977e6,0
