blind_id,R,B,T,arm,evaluator,trigger,contract,selection,narrative,functional,total_score,identity,M1,M2,M3,M4,modification_conformance,was_retry,source_artifact_path
B0013,R1,A,T1,C,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_C/captures/A/T1.raw.json
B0013,R1,A,T1,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_C/captures/A/T1.raw.json
B0025,R1,A,T1,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/A/T1.raw.json
B0025,R1,A,T1,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/A/T1.raw.json
B0041,R1,A,T2,C,A,PASS,4,4,4,4,16,SAME,1,0,1,0,2,False,runs/R1_C/captures/A/T2.raw.json
B0041,R1,A,T2,C,B,PASS,4,4,4,4,16,SAME,1,0,1,0,2,False,runs/R1_C/captures/A/T2.raw.json
B0049,R1,A,T2,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/A/T2.raw.json
B0049,R1,A,T2,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/A/T2.raw.json
B0021,R1,A,T3,C,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R1_C/captures/A/T3.raw.json
B0021,R1,A,T3,C,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R1_C/captures/A/T3.raw.json
B0011,R1,A,T3,M,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R1_M/captures/A/T3.raw.json
B0011,R1,A,T3,M,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R1_M/captures/A/T3.raw.json
B0052,R1,A,T4,C,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_C/captures/A/T4.raw.json
B0052,R1,A,T4,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_C/captures/A/T4.raw.json
B0039,R1,A,T4,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/A/T4.raw.json
B0039,R1,A,T4,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/A/T4.raw.json
B0044,R1,A,T5,C,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_C/captures/A/T5.raw.json
B0044,R1,A,T5,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_C/captures/A/T5.raw.json
B0047,R1,A,T5,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/A/T5.raw.json
B0047,R1,A,T5,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/A/T5.raw.json
B0056,R1,B,T1,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R1_C/captures/B/T1.raw.json
B0056,R1,B,T1,C,B,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R1_C/captures/B/T1.raw.json
B0027,R1,B,T1,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/B/T1.raw.json
B0027,R1,B,T1,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/B/T1.raw.json
B0031,R1,B,T2,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,0,1,1,3,False,runs/R1_C/captures/B/T2.raw.json
B0031,R1,B,T2,C,B,PASS,4,4,4,4,16,SAME_WITH_VARIANCE,1,0,1,1,3,False,runs/R1_C/captures/B/T2.raw.json
B0020,R1,B,T2,M,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R1_M/captures/B/T2.raw.json
B0020,R1,B,T2,M,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R1_M/captures/B/T2.raw.json
B0022,R1,B,T3,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,0,1,1,3,False,runs/R1_C/captures/B/T3.raw.json
B0022,R1,B,T3,C,B,PASS,4,4,4,4,16,SAME_WITH_VARIANCE,1,0,1,1,3,False,runs/R1_C/captures/B/T3.raw.json
B0032,R1,B,T3,M,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R1_M/captures/B/T3.raw.json
B0032,R1,B,T3,M,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R1_M/captures/B/T3.raw.json
B0042,R1,B,T4,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R1_C/captures/B/T4.raw.json
B0042,R1,B,T4,C,B,PASS,4,4,4,4,16,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R1_C/captures/B/T4.raw.json
B0029,R1,B,T4,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/B/T4.raw.json
B0029,R1,B,T4,M,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R1_M/captures/B/T4.raw.json
B0026,R1,B,T5,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R1_C/captures/B/T5.raw.json
B0026,R1,B,T5,C,B,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R1_C/captures/B/T5.raw.json
B0051,R1,B,T5,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/B/T5.raw.json
B0051,R1,B,T5,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R1_M/captures/B/T5.raw.json
B0023,R2,A,T1,C,A,PASS,2,4,4,4,14,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R2_C/captures/A/T1.raw.json
B0023,R2,A,T1,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_C/captures/A/T1.raw.json
B0003,R2,A,T1,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_M/captures/A/T1.raw.json
B0003,R2,A,T1,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_M/captures/A/T1.raw.json
B0037,R2,A,T2,C,A,PASS,4,4,4,4,16,SAME,1,0,1,0,2,False,runs/R2_C/captures/A/T2.raw.json
B0037,R2,A,T2,C,B,PASS,4,4,4,4,16,SAME,1,0,1,0,2,False,runs/R2_C/captures/A/T2.raw.json
B0008,R2,A,T2,M,A,PASS,4,4,4,4,16,SAME,1,1,1,0,3,False,runs/R2_M/captures/A/T2.raw.json
B0008,R2,A,T2,M,B,PASS,4,4,4,4,16,SAME,1,1,1,0,3,False,runs/R2_M/captures/A/T2.raw.json
B0002,R2,A,T3,C,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_C/captures/A/T3.raw.json
B0002,R2,A,T3,C,B,PASS,4,4,4,4,16,SAME,1,1,1,0,3,False,runs/R2_C/captures/A/T3.raw.json
B0043,R2,A,T3,M,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R2_M/captures/A/T3.raw.json
B0043,R2,A,T3,M,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R2_M/captures/A/T3.raw.json
B0035,R2,A,T4,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,0,0,0,0,0,False,runs/R2_C/captures/A/T4.raw.json
B0035,R2,A,T4,C,B,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,0,0,0,0,0,False,runs/R2_C/captures/A/T4.raw.json
B0057,R2,A,T4,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_M/captures/A/T4.raw.json
B0057,R2,A,T4,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_M/captures/A/T4.raw.json
B0007,R2,A,T5,C,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_C/captures/A/T5.raw.json
B0007,R2,A,T5,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_C/captures/A/T5.raw.json
B0060,R2,A,T5,M,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R2_M/captures/A/T5.raw.json
B0060,R2,A,T5,M,B,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R2_M/captures/A/T5.raw.json
B0054,R2,B,T1,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R2_C/captures/B/T1.raw.json
B0054,R2,B,T1,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_C/captures/B/T1.raw.json
B0018,R2,B,T1,M,A,FAIL,0,0,0,0,0,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T1.raw.json
B0018,R2,B,T1,M,B,PASS,1,0,1,0,2,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T1.raw.json
B0040,R2,B,T2,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,0,1,1,3,False,runs/R2_C/captures/B/T2.raw.json
